Qe_PHYS_W,Qe_ANN_W
7670.856465,7627.548146
26795.48465,26877.6378
20279.30333,20392.70492
5466.756712,5481.755508
31044.88297,30925.1873
20376.28439,20469.26633
6954.798977,6986.042429
25150.18043,25076.90137
26397.87825,26518.12086
11471.76696,11437.32319
17228.29634,17000.44264
25302.44921,25012.29528
6474.462702,6537.864073
15106.16201,15187.12994
10101.67235,10032.67871
6177.236206,6283.314011
11460.90518,11479.60888
5681.8291,5706.595046
8997.382674,9063.567629
8137.650132,8230.731741
8306.406556,8414.365623
6727.019768,6803.473408
8683.135778,8757.130097
25598.04618,25563.40031
10536.89285,10504.46626
5782.595247,5789.357844
28536.96723,28675.88678
6698.976494,6759.463153
26593.30879,26302.39347
11460.58334,11603.88739
6646.059592,6728.903
12894.53037,12918.70019
6536.233979,6624.921634
6158.993793,6232.324167
13802.87093,13803.29089
5419.650405,5371.79753
20577.73364,20602.78126
11945.86001,11924.29239
18470.29195,18427.53711
5160.533395,5141.660742
9127.836549,9148.941759
9669.654576,9527.415554
6174.960891,6249.360488
8808.617949,8873.731269
19301.92816,19402.14513
34093.41593,33801.42838
5701.54295,5700.640648
7983.586686,7986.092205
15519.65966,15477.22006
5573.738185,5595.019419
25060.64551,24938.49685
7474.470797,7434.443745
8722.264691,8798.312434
8567.64848,8607.706915
17409.99121,17607.90385
6794.664491,6808.276547
17171.93296,17350.35321
9101.01262,9136.938815
7570.888532,7522.43028
16244.87748,15989.08841
5691.018387,5733.485917
5815.111067,5853.041804
5750.166073,5769.355602
16084.61015,16070.14485
6636.405907,6688.487134
11495.51855,11442.35303
14899.16479,14873.95877
10060.74392,9882.788992
6667.127954,6723.639723
6282.91387,6340.819129
10935.19198,10948.83977
28356.3134,28384.44742
6911.462855,6923.749249
5384.144284,5340.240598
6456.808059,6518.409084
10860.25426,10866.98906
9601.052587,9558.368947
9976.03549,10011.34974
6589.249186,6658.796486
12363.44621,12358.50277
14084.67017,14099.5887
10247.68473,10220.87144
11982.80263,11931.69748
17648.36901,17639.43265
25343.76012,25369.11591
12038.55954,12085.80172
5431.810285,5422.677837
23816.5601,23986.57524
7815.067897,7804.968667
26575.9193,26734.47398
33134.24638,32941.85128
7189.205496,7128.656271
8831.019068,8956.151729
21588.15342,21853.74453
15301.39841,15291.67204
7876.284629,7903.285177
23238.00221,23156.95776
14374.73899,14359.40059
6912.83842,6963.134067
7806.920927,7834.290211
5273.066884,5227.761956
6936.734182,6936.897596
8950.667848,9030.542054
8677.427513,8783.264196
7414.491988,7386.950176
29463.98693,29440.57107
15352.05084,15320.40668
5592.383637,5598.525834
7532.942795,7502.221223
6624.977686,6688.097728
12458.71098,12322.10783
5537.50711,5525.06205
6733.505285,6768.899853
5383.630703,5374.218595
18599.57042,18576.3442
14068.72333,14150.74669
8912.849479,8950.315594
7678.781967,7746.123365
19442.75767,19363.18492
17652.5761,17613.67424
5542.717356,5660.975957
5733.689266,5793.435188
5500.518249,5511.073566
