time_s,q_dot_e
0,44426.86176
1.16666572,43470.38584
2.33333144,42534.50211
3.49999716,41618.76723
4.666662879,40722.74741
5.833328599,39846.01821
6.999994319,38988.1643
8.166660039,38148.77933
9.333325759,37327.46566
10.49999148,36523.83424
11.6666572,35737.50438
12.83332292,34968.1036
13.99998864,34215.26742
15.16665436,33478.63921
16.33332008,32757.87005
17.4999858,32052.61848
18.66665152,31362.55044
19.83331724,30687.33902
20.99998296,30026.66438
22.16664868,29380.21356
23.3333144,28747.68032
24.49998012,28128.76503
25.66664584,27523.17451
26.83331156,26930.62189
27.99997728,26350.82646
29.166643,25783.51358
30.33330872,25228.41451
31.49997444,24685.26628
32.66664016,24153.81162
33.83330588,23633.79877
34.9999716,23124.98139
36.16663732,22627.11846
37.33330304,22139.97412
38.49996876,21663.31763
39.66663448,21196.92319
40.8333002,20740.56985
41.99996592,20294.04145
43.16663164,19857.12646
44.33329736,19429.61791
45.49996307,19011.31328
46.66662879,18602.01444
47.83329451,18201.52748
48.99996023,17809.66269
50.16662595,17426.23445
51.33329167,17051.06112
52.49995739,16683.96498
53.66662311,16324.77214
54.83328883,15973.31244
55.99995455,15629.4194
57.16662027,15292.93011
58.33328599,14963.68517
59.49995171,14641.52862
60.66661743,14326.30785
61.83328315,14017.87354
62.99994887,13716.07958
64.16661459,13420.78302
65.33328031,13131.84395
66.49994603,12849.12553
67.66661175,12572.49381
68.83327747,12301.81776
69.99994319,12036.96915
71.16660891,11777.82253
72.33327463,11524.25513
73.49994035,11276.14685
74.66660607,11033.38014
75.83327179,10795.84001
76.99993751,10563.41394
78.16660323,10335.99182
79.33326895,10113.46592
80.49993467,9895.730838
81.66660039,9682.683419
82.83326611,9474.222746
83.99993183,9270.250069
85.16659755,9070.668767
86.33326327,8875.384295
87.49992899,8684.304146
88.66659471,8497.337805
89.83326043,8314.396705
90.99992615,8135.394185
92.16659187,7960.24545
93.33325759,7788.867532
94.49992331,7621.179248
95.66658903,7457.101163
96.83325475,7296.555551
97.99992047,7139.466363
99.16658619,6985.759183
100.3332519,6835.361199
101.4999176,6688.201168
102.6665833,6544.209378
103.8332491,6403.317619
104.9999148,6265.459151
106.1665805,6130.568669
107.3332462,5998.582275
108.4999119,5869.437446
109.6665777,5743.073004
110.8332434,5619.429091
111.9999091,5498.447136
113.1665748,5380.069829
114.3332405,5264.241093
115.4999063,5150.90606
116.666572,5040.011043
117.8332377,4931.50351
118.9999034,4825.332059
120.1665691,4721.446398
121.3332349,4619.797315
122.4999006,4520.336657
123.6665663,4423.017311
124.833232,4327.793174
125.9998977,4234.61914
127.1665635,4143.45107
128.3332292,4054.245779
129.4998949,3966.961008
130.6665606,3881.55541
131.8332263,3797.988529
132.9998921,3716.220778
134.1665578,3636.213424
135.3332235,3557.928566
136.4998892,3481.32912
137.6665549,3406.378801
138.8332207,3333.042104
139.9998864,3261.284289
141.1665521,3191.071365
142.3332178,3122.370071
143.4998835,3055.147862
144.6665493,2989.372895
145.833215,2925.014012
146.9998807,2862.040727
148.1665464,2800.423207
149.3332121,2740.132265
150.4998779,2681.13934
151.6665436,2623.416487
152.8332093,2566.936362
153.999875,2511.672211
155.1665407,2457.597854
156.3332065,2404.687676
157.4998722,2352.916613
158.6665379,2302.260141
159.8332036,2252.694263
160.9998693,2204.195501
162.1665351,2156.740879
163.3332008,2110.307919
164.4998665,2064.874624
165.6665322,2020.419473
166.8331979,1976.921407
167.9998637,1934.359821
169.1665294,1892.714552
170.3331951,1851.965874
171.4998608,1812.094483
172.6665265,1773.081493
173.8331923,1734.908422
174.999858,1697.557188
176.1665237,1661.010096
177.3331894,1625.249836
178.4998551,1590.259466
179.6665209,1556.022411
180.8331866,1522.522454
181.9998523,1489.743725
183.166518,1457.670697
184.3331837,1426.288176
185.4998495,1395.581297
186.6665152,1365.535512
187.8331809,1336.136591
188.9998466,1307.370605
190.1665123,1279.223928
191.3331781,1251.683228
192.4998438,1224.735458
193.6665095,1198.367852
194.8331752,1172.567921
195.9998409,1147.323442
197.1665067,1122.622457
198.3331724,1098.453265
199.4998381,1074.804417
200.6665038,1051.664711
201.8331695,1029.023184
202.9998353,1006.869112
204.166501,985.1920002
205.3331667,963.9815796
206.4998324,943.227803
207.6664981,922.920839
208.8331639,903.0510683
209.9998296,883.6090784
211.1664953,864.5856594
212.333161,845.9718
213.4998267,827.7586824
214.6664925,809.9376792
215.8331582,792.5003484
216.9998239,775.4384299
218.1664896,758.7438412
219.3331553,742.408674
220.4998211,726.4251904
221.6664868,710.7858188
222.8331525,695.4831507
223.9998182,680.5099373
225.1664839,665.8590855
226.3331497,651.5236552
227.4998154,637.4968556
228.6664811,623.7720421
229.8331468,610.3427133
230.9998125,597.2025075
232.1664783,584.3452001
233.333144,571.7647006
234.4998097,559.4550496
235.6664754,547.4104157
236.8331411,535.6250935
237.9998069,524.0935002
239.1664726,512.8101731
240.3331383,501.7697674
241.499804,490.967053
242.6664697,480.3969127
243.8331355,470.0543393
244.9998012,459.9344335
246.1664669,450.0324014
247.3331326,440.3435525
248.4997983,430.8632969
249.6664641,421.5871439
250.8331298,412.5106993
251.9997955,403.6296635
253.1664612,394.9398295
254.3331269,386.4370809
255.4997927,378.1173899
256.6664584,369.9768154
257.8331241,362.0115012
258.9997898,354.217674
260.1664555,346.5916419
261.3331213,339.1297923
262.499787,331.8285906
263.6664527,324.6845781
264.8331184,317.6943707
265.9997841,310.854657
267.1664498,304.162197
268.3331156,297.6138205
269.4997813,291.2064255
270.666447,284.9369768
271.8331127,278.8025044
272.9997784,272.8001025
274.1664442,266.9269276
275.3331099,261.1801976
276.4997756,255.5571903
277.6664413,250.0552419
278.833107,244.6717463
279.9997728,239.4041531
281.1664385,234.2499672
282.3331042,229.2067468
283.4997699,224.2721031
284.6664356,219.4436985
285.8331014,214.7192457
286.9997671,210.0965066
288.1664328,205.5732916
289.3330985,201.1474579
290.4997642,196.8169089
291.66643,192.5795934
292.8330957,188.4335039
293.9997614,184.3766765
295.1664271,180.4071895
296.3330928,176.5231625
297.4997586,172.7227555
298.6664243,169.0041684
299.83309,165.3656396
300.9997557,161.8054455
302.1664214,158.3218996
303.3330872,154.9133517
304.4997529,151.5781873
305.6664186,148.3148263
306.8330843,145.121723
307.99975,141.9973647
309.1664158,138.9402715
310.3330815,135.9489951
311.4997472,133.0221185
312.6664129,130.1582553
313.8330786,127.3560489
314.9997444,124.6141719
316.1664101,121.9313253
317.3330758,119.3062383
318.4997415,116.7376674
319.6664072,114.2243959
320.833073,111.7652331
321.9997387,109.3590142
323.1664044,107.0045994
324.3330701,104.7008732
325.4997358,102.4467445
326.6664016,100.2411455
327.8330673,98.08303127
328.999733,95.97137959
330.1663987,93.90519013
331.3330644,91.88348413
332.4997302,89.9053039
333.6663959,87.96971235
334.8330616,86.07579259
335.9997273,84.22264746
337.166393,82.4093991
338.3330588,80.63518858
339.4997245,78.89917543
340.6663902,77.20053731
341.8330559,75.53846954
342.9997216,73.91218481
344.1663874,72.32091273
345.3330531,70.7638995
346.4997188,69.24040756
347.6663845,67.74971523
348.8330502,66.29111634
349.999716,0
351.1663817,0
352.3330474,0
353.4997131,0
354.6663788,0
355.8330446,0
356.9997103,0
358.166376,0
359.3330417,0
360.4997074,0
361.6663732,0
362.8330389,0
363.9997046,0
365.1663703,0
366.333036,0
367.4997018,0
368.6663675,0
369.8330332,0
370.9996989,0
372.1663646,0
373.3330304,0
374.4996961,0
375.6663618,0
376.8330275,0
377.9996932,0
379.166359,0
380.3330247,0
381.4996904,0
382.6663561,0
383.8330218,0
384.9996876,0
386.1663533,0
387.333019,0
388.4996847,0
389.6663504,0
390.8330162,0
391.9996819,0
393.1663476,0
394.3330133,0
395.499679,0
396.6663448,0
397.8330105,0
398.9996762,0
400.1663419,0
401.3330076,0
402.4996734,0
403.6663391,0
404.8330048,0
405.9996705,0
407.1663362,0
408.333002,0
409.4996677,0
410.6663334,0
411.8329991,0
412.9996648,0
414.1663306,0
415.3329963,0
416.499662,0
417.6663277,0
418.8329934,0
419.9996592,0
421.1663249,0
422.3329906,0
423.4996563,0
424.666322,0
425.8329878,0
426.9996535,0
428.1663192,0
429.3329849,0
430.4996506,0
431.6663164,0
432.8329821,0
433.9996478,0
435.1663135,0
436.3329792,0
437.499645,0
438.6663107,0
439.8329764,0
440.9996421,0
442.1663078,0
443.3329736,0
444.4996393,0
445.666305,0
446.8329707,0
447.9996364,0
449.1663021,0
450.3329679,0
451.4996336,0
452.6662993,0
453.832965,0
454.9996307,0
456.1662965,0
457.3329622,0
458.4996279,0
459.6662936,0
460.8329593,0
461.9996251,0
463.1662908,0
464.3329565,0
465.4996222,0
466.6662879,0
467.8329537,0
468.9996194,0
470.1662851,0
471.3329508,0
472.4996165,0
473.6662823,0
474.832948,0
475.9996137,0
477.1662794,0
478.3329451,0
479.4996109,0
480.6662766,0
481.8329423,0
482.999608,0
484.1662737,0
485.3329395,0
486.4996052,0
487.6662709,0
488.8329366,0
489.9996023,0
491.1662681,0
492.3329338,0
493.4995995,0
494.6662652,0
495.8329309,0
496.9995967,0
498.1662624,0
499.3329281,0
500.4995938,0
501.6662595,0
502.8329253,0
503.999591,0
505.1662567,0
506.3329224,0
507.4995881,0
508.6662539,0
509.8329196,0
510.9995853,0
512.166251,0
513.3329167,0
514.4995825,0
515.6662482,0
516.8329139,0
517.9995796,0
519.1662453,0
520.3329111,0
521.4995768,0
522.6662425,0
523.8329082,0
524.9995739,0
526.1662397,0
527.3329054,0
528.4995711,0
529.6662368,0
530.8329025,0
531.9995683,0
533.166234,0
534.3328997,0
535.4995654,0
536.6662311,0
537.8328969,0
538.9995626,0
540.1662283,0
541.332894,0
542.4995597,0
543.6662255,0
544.8328912,0
545.9995569,0
547.1662226,0
548.3328883,0
549.4995541,0
550.6662198,0
551.8328855,0
552.9995512,0
554.1662169,0
555.3328827,0
556.4995484,0
557.6662141,0
558.8328798,0
559.9995455,0
561.1662113,0
562.332877,0
563.4995427,0
564.6662084,0
565.8328741,0
566.9995399,0
568.1662056,0
569.3328713,0
570.499537,0
571.6662027,0
572.8328685,0
573.9995342,0
575.1661999,0
576.3328656,0
577.4995313,0
578.6661971,0
579.8328628,0
580.9995285,0
582.1661942,0
583.3328599,0
584.4995257,0
585.6661914,0
586.8328571,0
587.9995228,0
589.1661885,0
590.3328543,0
591.49952,0
592.6661857,0
593.8328514,0
594.9995171,0
596.1661829,0
597.3328486,0
598.4995143,0
599.66618,0
600.8328457,0
601.9995115,0
603.1661772,0
604.3328429,0
605.4995086,0
606.6661743,0
607.8328401,0
608.9995058,0
610.1661715,0
611.3328372,0
612.4995029,0
613.6661687,0
614.8328344,0
615.9995001,0
617.1661658,0
618.3328315,0
619.4994973,0
620.666163,0
621.8328287,0
622.9994944,0
624.1661601,0
625.3328258,0
626.4994916,0
627.6661573,0
628.832823,0
629.9994887,0
631.1661544,0
632.3328202,0
633.4994859,0
634.6661516,0
635.8328173,0
636.999483,0
638.1661488,0
639.3328145,0
640.4994802,0
641.6661459,0
642.8328116,0
643.9994774,0
645.1661431,0
646.3328088,0
647.4994745,0
648.6661402,0
649.832806,0
650.9994717,0
652.1661374,0
653.3328031,0
654.4994688,0
655.6661346,0
656.8328003,0
657.999466,0
659.1661317,0
660.3327974,0
661.4994632,0
662.6661289,0
663.8327946,0
664.9994603,0
666.166126,0
667.3327918,0
668.4994575,0
669.6661232,0
670.8327889,0
671.9994546,0
673.1661204,0
674.3327861,0
675.4994518,0
676.6661175,0
677.8327832,0
678.999449,0
680.1661147,0
681.3327804,0
682.4994461,0
683.6661118,0
684.8327776,0
685.9994433,0
687.166109,0
688.3327747,0
689.4994404,0
690.6661062,0
691.8327719,0
692.9994376,0
694.1661033,0
695.332769,0
696.4994348,0
697.6661005,0
698.8327662,0
